"Department.Code","Department.Name","SubDept.Code","SubDept.Name","Program.Code","Program.Name","Performance.Measure.Code","Performance.Measure.Name","Unit","Budget","Performance.Measure.Amount"
"68","City Planning","68LVL5","City Planning","6806","Geographic Project Planning","68CASES","Annual Number of Cases Completed","","2013-14 Actuals",1774
"70","Police","70LVL5","Police","7001","Field Forces","70CRIME","Total Number of Crime Incidents","","2013-14 Actuals",102119
"70","Police","70LVL5","Police","7003","Specialized Investigation","70GANG","Number of Gang-Related Homicides","","2013-14 Actuals",145
"70","Police","70LVL5","Police","7004","Custody of Persons and Property","70BOOKING","Average Processing Time for Non-Medical Bookings","in minutes","2013-14 Actuals",18
"70","Police","70LVL5","Police","7005","Traffic Control","70HITRUN","Number of Traffic Hit and Run Collisions","","2013-14 Actuals",21208
"70","Police","70LVL5","Police","7006","Specialized Enforcement and Protection","70ARRESTS","Metropolitan Division Felony and Misdemeanor Arrests","","2013-14 Actuals",2048
"70","Police","70LVL5","Police","7047","Personnel Training and Support","70WORKERCOMP","Number of Workers' Compensation Claims","","2013-14 Actuals",3540
"70","Police","70LVL5","Police","7051","Internal Integrity and Standards Enforcement","70INTERNAL","Internal Affairs Investigations Closed within Five Months","percentage","2013-14 Actuals",28
"74","Board of Public Works","74LVL5","Board of Public Works","7401","Office of Community Beautification","74GRAFFITI","Percent of Graffiti Removal Requests Completed in 48 Hours","","2013-14 Actuals",77
"74","Board of Public Works","74LVL5","Board of Public Works","7403","Public Works Accounting","74PAYMENTS","Percentage of All Payments Processed within 30 Days","","2013-14 Actuals",73
"74","Board of Public Works","74LVL5","Board of Public Works","7405","Public Works Board and Board Secretariat","74JOURNALS","Percent of Board Meeting Journals Posted within 24 Hours","","2013-14 Actuals",99
"76","Bureau of Contract Administration","76LVL5","Bureau of Contract Administration","7601","Construction Inspection","76RETENTION","Number of Days for Final Retention Requests to be Processed","","2013-14 Actuals",7
"76","Bureau of Contract Administration","76LVL5","Bureau of Contract Administration","7602","Contract Compliance","76LOCALHIRE","Percent of Hours Worked by Local Hires at PLA Projects","","2013-14 Actuals",43
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7803","Clean Water Infrastructure","78WATER","Number of Completed Clean Water Capital Projects","","2013-14 Actuals",77
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7804","Development Services and Permits","78APERMIT","Percent of A Permits Issued within 60 Minutes","","2013-14 Actuals",98
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7805","Mobility","78MOBILITY","Number of Completed Mobility Capital Projects","","2013-14 Actuals",17
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7807","Public Buildings and Open Spaces","78BUILDING","Number of Completed Building & Open Spaces Capital Projects","","2013-14 Actuals",30
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8201","Watershed Protection","82CATCHBASIN","Number of Catch Basins Cleaned ","","2013-14 Actuals",63000
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8202","Clean Water","82SEWER","Sewer Miles Cleaned","","2013-14 Actuals",6200
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8203","Solid Resources","82RECYCLING","Citywide Recycling Diversion Rate","percentage","2013-14 Actuals",76
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8401","Design and Construction","84LEDPERCENT","Percentage of Streetlights Converted to LED","","2013-14 Actuals",72
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8402","System Operation, Maintenance, and Repair","84OUTAGE","Single Streetlight Outage Response Time","in working days","2013-14 Actuals",2.4
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8403","Street Lighting Assessment","84SLMAF","Street Lighting Maintenance Assessment Fund Revenue","","2013-14 Actuals",44.5
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8602","Investigation and Enforcement","86PERMIT","Number of Permits and Notices Issued","","2013-14 Actuals",43205
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8603","Street Cleaning","86SWEEPING","Percent of Posted Street Sweeping Routes Completed ","","2013-14 Actuals",95.5
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8604","Street Tree and Parkway Maintenance","86TREELIMB","Number of Days to Respond to Tree Limb Down Requests","","2013-14 Actuals",0
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8605","Maintaining Streets","86POTHOLE","Average Number of Working Days to Repair Potholes","","2013-14 Actuals",0
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8606","Pavement Preservation","86SLURRY","Number of Lane Miles Resurfaced and Slurry Sealed","","2013-14 Actuals",2132
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8607","Street Improvement Construction","86ACCESS","Number of Pedestrian Access Ramps Installed","","2013-14 Actuals",1256
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8608","Street Improvement Engineering","86DESIGN","Value of Design-Build Projects Completed","in millions of dollars","2013-14 Actuals",0
"87","Zoo","87LVL5","Zoo","8702","Animal Health Care","87HEALTH","Number of Animal Preventative Health Exams Conducted","","2013-14 Actuals",0
"87","Zoo","87LVL5","Zoo","8703","Admissions","87ONLINE","Percent of Ticket Sale Transactions Conducted Online","","2013-14 Actuals",5
"87","Zoo","87LVL5","Zoo","8705","Custodial Services","87CLEAN","Percent of ""Excellent"" Rating For Facility Cleanliness","","2013-14 Actuals",78
"87","Zoo","87LVL5","Zoo","8706","Public Relations and Marketing","87FILM","Number of Commercial Film Shoots at the Zoo","","2013-14 Actuals",15
"88","Recreation and Parks","88LVL5","Recreation and Parks","8801","Museums and Educational","88MUSEUM","Number of Annual Museum Visitors","Excluding Griffith Observatory","2013-14 Actuals",429085
"88","Recreation and Parks","88LVL5","Recreation and Parks","8802","Griffith Observatory","88GRIFFITH","Number of Griffith Observatory Visitors","","2013-14 Actuals",1155104
"88","Recreation and Parks","88LVL5","Recreation and Parks","8807","Aquatics","88AQUATIC","Total Attendance at City Aquatic Facilities","","2013-14 Actuals",1320675
"88","Recreation and Parks","88LVL5","Recreation and Parks","8809","Building and Facilities Maintenance","88JOBORDER","Maintenance Job Orders Completed","","2013-14 Actuals",25672
"88","Recreation and Parks","88LVL5","Recreation and Parks","8812","Expo Center","88EXPO","Number of EXPO Center Visitors","","2013-14 Actuals",448860
"88","Recreation and Parks","88LVL5","Recreation and Parks","8820","Recreational Programming","88SPORTS","Number of Youth and Adult Sports Program Registrations","","2013-14 Actuals",0
"88","Recreation and Parks","88LVL5","Recreation and Parks","8823","Public Safety","88SAFE","Percent of Visitors Feeling 'Safe' or 'Very Safe'","","2013-14 Actuals",0
"94","Transportation","94LVL5","Transportation","9402","Transit Planning and Land Use","94STUDIES","Percent of Traffic Studies Processed within 90 Business Days","","2013-14 Actuals",93
"94","Transportation","94LVL5","Transportation","9403","Transportation Infrastructure and Project Delivery","94GRANTS","Number of Projects Successful in Securing Grant Funding","","2013-14 Actuals",5
"94","Transportation","94LVL5","Transportation","9404","Parking Facilities, Meters, and Operations","94METERS","Percent of Time Parking Meters are Functioning Properly","","2013-14 Actuals",99.7
"94","Transportation","94LVL5","Transportation","9406","Parking Citation Processing Services","94TICKET","Two Year Parking Ticket Collection Rate","percentage","2013-14 Actuals",86
"94","Transportation","94LVL5","Transportation","9408","District Offices","94SERVICE","Number of Service Requests Closed","","2013-14 Actuals",12789
"94","Transportation","94LVL5","Transportation","9409","Traffic Signals and Systems","94SIGNAL","Percent of Signal Calls Responded to Within One Hour","","2013-14 Actuals",54
"94","Transportation","94LVL5","Transportation","9412","Public Transit Services","94TRANSIT","Percent of LADOT Transit On-Time Arrivals ","","2013-14 Actuals",83
"94","Transportation","94LVL5","Transportation","9413","Major Project Coordination","94METRO","Percent of Metro Plans Reviewed within 20 Business Days","","2013-14 Actuals",85
"94","Transportation","94LVL5","Transportation","9416","Active Transportation","94BIKELANE","Number of Miles of Bike Lanes and Paths in the City ","","2013-14 Actuals",496
"94","Transportation","94LVL5","Transportation","9417","Crossing Guard Services","94GUARDS","Number of Guards Assigned","","2013-14 Actuals",393
"2","Aging","02LVL5","Aging","201","Senior Services","02MEALS","Number of Home Delivered and Congregate Meals Provided","","2014-15 Actuals",1468545
"2","Aging","02LVL5","Aging","202","Family Caregiver Services","02CAREGIVER","Number of Participants in Caregiver Information Sessions","","2014-15 Actuals",6725
"2","Aging","02LVL5","Aging","203","Older Workers Program","02OLDERWORKER","Number of Participants in the Older Workers Program","","2014-15 Actuals",166
"6","Animal Services","06LVL5","Animal Services","601","Animal Control and Law Enforcement","06LICENSE","Number of Animal Licenses Sold","","2014-15 Actuals",120975
"6","Animal Services","06LVL5","Animal Services","602","Shelter Operations and Animal Care","06LIVESAVE","Animal Live/Save Rate ","percentage","2014-15 Actuals",71
"6","Animal Services","06LVL5","Animal Services","607","Animal Medical Services","06SPAYNEUTER","Number of Spay/Neuter Surgeries","","2014-15 Actuals",5971
"6","Animal Services","06LVL5","Animal Services","609","Public Counters and Community Services","06VOLUNTEER","Number of Volunteer Hours","","2014-15 Actuals",43837
"8","Building and Safety","08LVL5","Building and Safety","811","Structural Plan Checking","08PLANCHECK","Percent of Plan Check Jobs Completed in 15 Days","","2014-15 Actuals",72
"8","Building and Safety","08LVL5","Building and Safety","812","Green Buildings and Electrical and Mechanical Engineering","08MECHPLANCK","Percent of Mechanical Plan Check Jobs Completed in 15 Days","","2014-15 Actuals",90
"8","Building and Safety","08LVL5","Building and Safety","813","Grading Reports and Inspection","08GRADEREPORT","Percent of New Grading Reports Completed in 30 Days","","2014-15 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","814","Residential Inspection","08RESINSPECT","Percent of Residential Inspections Completed in 24 Hours","","2014-15 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","815","Commercial Inspection and Licensing","08PLUMBINSPECT","Percent of Plumbing Inspections Completed in 24 Hours","","2014-15 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","816","Development Services Case Management","08CASEMGMT","Percent of Case Management Projects Contacted in 5 Days","","2014-15 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","817","Residential and Commercial Code Enforcement","08COMPLAINT","Percent of Code Enforcement Complaints Closed in 60 Days","","2014-15 Actuals",46
"8","Building and Safety","08LVL5","Building and Safety","818","Conservation of Existing Structures and Mechanical Devices","08RESPROPERTY","Percent of Residential Property Reports Completed in 15 Days","","2014-15 Actuals",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1001","Budget Formulation and Control","10RF%GF","Reserve Fund as a Percent of the Adopted General Fund Budget","","2014-15 Actuals",5.53
"10","City Administrative Officer","10LVL5","City Administrative Officer","1002","Management Services","10IFAPPS","Percent of Submitted Innovation Fund Applications Reviewed","","2014-15 Actuals",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1003","Employee Relations Compensation and Benefits","10ACTIVEMOUS","Percent of Active Memorandum of Understandings","","2014-15 Actuals",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1004","Risk Management","10INSDOCSSUBMIT","Percent of Contractors Self-Submitting Ins Docs - Track4LA","","2014-15 Actuals",90
"14","City Clerk","14LVL5","City Clerk","1401","Council and Public Services","14CITYRECORDS","Number of City Records Viewed","","2014-15 Actuals",2005955
